Nationality,Single Age Group,Five-Year Age Group,Governorate,Region,Gender,Population
Saudi,1,0-4,,,Female,612
Non-Saudi,1,0-4,,,Female,4
Saudi,1,0-4,,,Female,4601
Non-Saudi,1,0-4,,,Female,453
Saudi,1,0-4,,,Female,258
Non-Saudi,1,0-4,,,Female,5
Saudi,1,0-4,,,Female,183
Non-Saudi,1,0-4,,,Female,3
Saudi,1,0-4,,,Female,181
Non-Saudi,1,0-4,,,Female,6
Saudi,1,0-4,,,Female,1124
Non-Saudi,1,0-4,,,Female,94
Saudi,1,0-4,,,Female,206
Non-Saudi,1,0-4,,,Female,16
Saudi,1,0-4,,,Female,430
Non-Saudi,1,0-4,,,Female,10
Saudi,1,0-4,,,Female,540
Non-Saudi,1,0-4,,,Female,19
Saudi,1,0-4,,,Female,223
Saudi,1,0-4,,,Female,9762
Non-Saudi,1,0-4,,,Female,1630
Saudi,1,0-4,,,Female,474
Non-Saudi,1,0-4,,,Female,7
Saudi,1,0-4,,,Female,498
Non-Saudi,1,0-4,,,Female,12
Saudi,1,0-4,,,Female,459
Non-Saudi,1,0-4,,,Female,10
Saudi,1,0-4,,,Female,267
Non-Saudi,1,0-4,,,Female,3
Saudi,1,0-4,,,Female,2684
Non-Saudi,1,0-4,,,Female,267
Saudi,1,0-4,,,Female,9413
Non-Saudi,1,0-4,,,Female,472
Saudi,1,0-4,,,Female,2498
Non-Saudi,1,0-4,,,Female,615
Saudi,1,0-4,,,Female,1918
Non-Saudi,1,0-4,,,Female,1368
Saudi,1,0-4,,,Female,644
Non-Saudi,1,0-4,,,Female,47
Saudi,1,0-4,,,Female,8171
Non-Saudi,1,0-4,,,Female,1928
Saudi,1,0-4,,,Female,78
Non-Saudi,1,0-4,,,Female,3
Saudi,1,0-4,,,Female,4263
Non-Saudi,1,0-4,,,Female,99
Saudi,1,0-4,,,Female,456
Non-Saudi,1,0-4,,,Female,21
Saudi,1,0-4,,,Female,423
Non-Saudi,1,0-4,,,Female,21
Saudi,1,0-4,,,Female,4347
Non-Saudi,1,0-4,,,Female,462
Saudi,1,0-4,,,Female,246
Non-Saudi,1,0-4,,,Female,45
Saudi,1,0-4,,,Female,140
Non-Saudi,1,0-4,,,Female,12
Saudi,1,0-4,,,Female,176
Non-Saudi,1,0-4,,,Female,3
Saudi,1,0-4,,,Female,395
Non-Saudi,1,0-4,,,Female,18
Saudi,1,0-4,,,Female,588
Non-Saudi,1,0-4,,,Female,19
Saudi,1,0-4,,,Female,5636
Non-Saudi,1,0-4,,,Female,310
Saudi,1,0-4,,,Female,360
Non-Saudi,1,0-4,,,Female,7
Saudi,1,0-4,,,Female,259
Non-Saudi,1,0-4,,,Female,7
Saudi,1,0-4,,,Female,349
Non-Saudi,1,0-4,,,Female,21
Saudi,1,0-4,,,Female,1457
Non-Saudi,1,0-4,,,Female,132
Saudi,1,0-4,,,Female,1063
Non-Saudi,1,0-4,,,Female,127
Saudi,1,0-4,,,Female,82
Non-Saudi,1,0-4,,,Female,21
Saudi,1,0-4,,,Female,394
Non-Saudi,1,0-4,,,Female,10
Saudi,1,0-4,,,Female,539
Non-Saudi,1,0-4,,,Female,41
Saudi,1,0-4,,,Female,231
Non-Saudi,1,0-4,,,Female,3
Saudi,1,0-4,,,Female,377
Non-Saudi,1,0-4,,,Female,30
Saudi,1,0-4,,,Female,649
Non-Saudi,1,0-4,,,Female,71
Saudi,1,0-4,,,Female,235
Non-Saudi,1,0-4,,,Female,29
Saudi,1,0-4,,,Female,638
Non-Saudi,1,0-4,,,Female,75
Saudi,1,0-4,,,Female,1380
Non-Saudi,1,0-4,,,Female,252
Saudi,1,0-4,,,Female,1072
Non-Saudi,1,0-4,,,Female,263
Saudi,1,0-4,,,Female,1426
Non-Saudi,1,0-4,,,Female,280
Saudi,1,0-4,,,Female,434
Non-Saudi,1,0-4,,,Female,116
Saudi,1,0-4,,,Female,98
Non-Saudi,1,0-4,,,Female,12
Saudi,1,0-4,,,Female,129
Non-Saudi,1,0-4,,,Female,8
Saudi,1,0-4,,,Female,247
Non-Saudi,1,0-4,,,Female,24
Saudi,1,0-4,,,Female,867
Non-Saudi,1,0-4,,,Female,5
Saudi,1,0-4,,,Female,184
Non-Saudi,1,0-4,,,Female,1
Saudi,1,0-4,,,Female,180
Non-Saudi,1,0-4,,,Female,3
Saudi,1,0-4,,,Female,226
Non-Saudi,1,0-4,,,Female,8
Saudi,1,0-4,,,Female,111
Non-Saudi,1,0-4,,,Female,1
Saudi,1,0-4,,,Female,429
Non-Saudi,1,0-4,,,Female,20
Saudi,1,0-4,,,Female,3518
Non-Saudi,1,0-4,,,Female,259
Saudi,1,0-4,,,Female,192
Non-Saudi,1,0-4,,,Female,4
Saudi,1,0-4,,,Female,157
Non-Saudi,1,0-4,,,Female,1
Saudi,1,0-4,,,Female,2854
Non-Saudi,1,0-4,,,Female,224
Saudi,1,0-4,,,Female,989
Non-Saudi,1,0-4,,,Female,43
Saudi,1,0-4,,,Female,126
Saudi,1,0-4,,,Female,199
Saudi,1,0-4,,,Female,192
Non-Saudi,1,0-4,,,Female,1
Saudi,1,0-4,,,Female,316
Non-Saudi,1,0-4,,,Female,8
Saudi,1,0-4,,,Female,178
Non-Saudi,1,0-4,,,Female,19
Saudi,1,0-4,,,Female,304
Non-Saudi,1,0-4,,,Female,4
Saudi,1,0-4,,,Female,439
Non-Saudi,1,0-4,,,Female,18
Saudi,1,0-4,,,Female,1650
Non-Saudi,1,0-4,,,Female,81
Saudi,1,0-4,,,Female,380
Non-Saudi,1,0-4,,,Female,4
Saudi,1,0-4,,,Female,88
Non-Saudi,1,0-4,,,Female,4
Saudi,1,0-4,,,Female,4165
Non-Saudi,1,0-4,,,Female,448
Saudi,1,0-4,,,Female,372
Non-Saudi,1,0-4,,,Female,13
Saudi,1,0-4,,,Female,614
Non-Saudi,1,0-4,,,Female,16
Saudi,1,0-4,,,Female,225
Non-Saudi,1,0-4,,,Female,4
Saudi,1,0-4,,,Female,318
Non-Saudi,1,0-4,,,Female,11
Saudi,1,0-4,,,Female,1865
Non-Saudi,1,0-4,,,Female,54
Saudi,1,0-4,,,Female,248
Non-Saudi,1,0-4,,,Female,19
Saudi,1,0-4,,,Female,686
Non-Saudi,1,0-4,,,Female,47
Saudi,1,0-4,,,Female,356
Non-Saudi,1,0-4,,,Female,12
Saudi,1,0-4,,,Female,6595
Non-Saudi,1,0-4,,,Female,608
Saudi,1,0-4,,,Female,512
Non-Saudi,1,0-4,,,Female,19
Saudi,1,0-4,,,Female,1590
Non-Saudi,1,0-4,,,Female,72
Saudi,1,0-4,,,Female,100
Non-Saudi,1,0-4,,,Female,5
Saudi,1,0-4,,,Female,628
Non-Saudi,1,0-4,,,Female,12
Saudi,1,0-4,,,Female,293
Non-Saudi,1,0-4,,,Female,3
Saudi,1,0-4,,,Female,683
Non-Saudi,1,0-4,,,Female,50
Saudi,1,0-4,,,Female,371
Non-Saudi,1,0-4,,,Female,25
Saudi,1,0-4,,,Female,15896
Non-Saudi,1,0-4,,,Female,6828
Saudi,1,0-4,,,Female,410
Non-Saudi,1,0-4,,,Female,27
Saudi,1,0-4,,,Female,726
Non-Saudi,1,0-4,,,Female,83
Saudi,1,0-4,,,Female,406
Non-Saudi,1,0-4,,,Female,11
Saudi,1,0-4,,,Female,10679
Non-Saudi,1,0-4,,,Female,3251
Saudi,1,0-4,,,Female,244
Non-Saudi,1,0-4,,,Female,7
Saudi,1,0-4,,,Female,74
Saudi,1,0-4,,,Female,136
Non-Saudi,1,0-4,,,Female,6
Saudi,1,0-4,,,Female,233
Non-Saudi,1,0-4,,,Female,9
Saudi,1,0-4,,,Female,101
Non-Saudi,1,0-4,,,Female,3
Saudi,1,0-4,,,Female,931
Non-Saudi,1,0-4,,,Female,168
Saudi,1,0-4,,,Female,3685
Non-Saudi,1,0-4,,,Female,460
Saudi,1,0-4,,,Female,190
Non-Saudi,1,0-4,,,Female,1
Saudi,1,0-4,Al Bahah (Emirate HQ),Al Bahah,Male,548
Non-Saudi,1,0-4,Al Bahah (Emirate HQ),Al Bahah,Male,76
Saudi,1,0-4,Al Hujrah,Al Bahah,Male,119
Non-Saudi,1,0-4,Al Hujrah,Al Bahah,Male,6
Saudi,1,0-4,Al Aqiq,Al Bahah,Male,305
Non-Saudi,1,0-4,Al Aqiq,Al Bahah,Male,13
Saudi,1,0-4,,Al Bahah,Male,172
Non-Saudi,1,0-4,,Al Bahah,Male,5
Saudi,1,0-4,,Al Bahah,Male,408
Non-Saudi,1,0-4,,Al Bahah,Male,20
Saudi,1,0-4,,Al Bahah,Male,154
Non-Saudi,1,0-4,,Al Bahah,Male,7
Saudi,1,0-4,,Al Bahah,Male,304
Non-Saudi,1,0-4,,Al Bahah,Male,35
Saudi,1,0-4,,Al Bahah,Male,105
Non-Saudi,1,0-4,,Al Bahah,Male,2
Saudi,1,0-4,,Al Bahah,Male,114
Saudi,1,0-4,,Al Bahah,Male,233
Non-Saudi,1,0-4,,Al Bahah,Male,8
Saudi,1,0-4,,,Male,2420
Non-Saudi,1,0-4,,,Male,78
Saudi,1,0-4,,,Male,579
Non-Saudi,1,0-4,,,Male,15
Saudi,1,0-4,,,Male,1960
Non-Saudi,1,0-4,,,Male,162
Saudi,1,0-4,,,Male,1847
Non-Saudi,1,0-4,,,Male,25
Saudi,1,0-4,,,Male,228
Non-Saudi,1,0-4,,,Male,7
Saudi,1,0-4,,,Male,831
Non-Saudi,1,0-4,,,Male,74
Saudi,1,0-4,,,Male,648
Non-Saudi,1,0-4,,,Male,54
Saudi,1,0-4,,,Male,2091
Non-Saudi,1,0-4,,,Male,156
Saudi,1,0-4,,,Male,408
Non-Saudi,1,0-4,,,Male,13
Saudi,1,0-4,,,Male,122
Non-Saudi,1,0-4,,,Male,3
Saudi,1,0-4,,,Male,2720
Non-Saudi,1,0-4,,,Male,312
Saudi,1,0-4,,,Male,557
Non-Saudi,1,0-4,,,Male,146
Saudi,1,0-4,,,Male,350
Non-Saudi,1,0-4,,,Male,38
Saudi,1,0-4,,,Male,1572
Non-Saudi,1,0-4,,,Male,99
Saudi,1,0-4,,,Male,35539
Non-Saudi,1,0-4,,,Male,11890
Saudi,1,0-4,,,Male,276
Non-Saudi,1,0-4,,,Male,5
Saudi,1,0-4,,,Male,552
Non-Saudi,1,0-4,,,Male,34
Saudi,1,0-4,,,Male,318
Non-Saudi,1,0-4,,,Male,13
Saudi,1,0-4,,,Male,55
Non-Saudi,1,0-4,,,Male,2
Saudi,1,0-4,,,Male,558
Non-Saudi,1,0-4,,,Male,19
Saudi,1,0-4,,,Male,1000
Non-Saudi,1,0-4,,,Male,70
Saudi,1,0-4,,,Male,521
Non-Saudi,1,0-4,,,Male,37
Saudi,1,0-4,,,Male,76
Non-Saudi,1,0-4,,,Male,10
Saudi,1,0-4,,,Male,123
Non-Saudi,1,0-4,,,Male,7
Saudi,1,0-4,,,Male,317
Non-Saudi,1,0-4,,,Male,13
Saudi,1,0-4,,,Male,219
Non-Saudi,1,0-4,,,Male,12
Saudi,1,0-4,,,Male,287
Non-Saudi,1,0-4,,,Male,37
Saudi,1,0-4,,,Male,130
Non-Saudi,1,0-4,,,Male,16
Saudi,1,0-4,,,Male,642
Non-Saudi,1,0-4,,,Male,11
Saudi,1,0-4,,,Male,73
Non-Saudi,1,0-4,,,Male,3
Saudi,1,0-4,,,Male,779
Non-Saudi,1,0-4,,,Male,33
Saudi,1,0-4,,,Male,297
Non-Saudi,1,0-4,,,Male,6
Saudi,1,0-4,,,Male,466
Non-Saudi,1,0-4,,,Male,18
Saudi,1,0-4,,,Male,428
Non-Saudi,1,0-4,,,Male,27
Saudi,1,0-4,,,Male,882
Non-Saudi,1,0-4,,,Male,66
Saudi,1,0-4,,,Male,56
Non-Saudi,1,0-4,,,Male,1
Saudi,1,0-4,,,Male,305
Non-Saudi,1,0-4,,,Male,20
Saudi,1,0-4,,,Male,674
Non-Saudi,1,0-4,,,Male,1
Saudi,1,0-4,,,Male,4797
Non-Saudi,1,0-4,,,Male,490
Saudi,1,0-4,,,Male,267
Non-Saudi,1,0-4,,,Male,8
Saudi,1,0-4,,,Male,186
Non-Saudi,1,0-4,,,Male,6
Saudi,1,0-4,,,Male,193
Non-Saudi,1,0-4,,,Male,6
Saudi,1,0-4,,,Male,1213
Non-Saudi,1,0-4,,,Male,91
Saudi,1,0-4,,,Male,207
Non-Saudi,1,0-4,,,Male,14
Saudi,1,0-4,,,Male,468
Non-Saudi,1,0-4,,,Male,7
Saudi,1,0-4,,,Male,509
Non-Saudi,1,0-4,,,Male,22
Saudi,1,0-4,,,Male,223
Non-Saudi,1,0-4,,,Male,3
Saudi,1,0-4,,,Male,9920
Non-Saudi,1,0-4,,,Male,1827
Saudi,1,0-4,,,Male,470
Non-Saudi,1,0-4,,,Male,8
Saudi,1,0-4,,,Male,491
Non-Saudi,1,0-4,,,Male,23
Saudi,1,0-4,,,Male,469
Non-Saudi,1,0-4,,,Male,12
Saudi,1,0-4,,,Male,263
Non-Saudi,1,0-4,,,Male,5
Saudi,1,0-4,,,Male,2814
Non-Saudi,1,0-4,,,Male,328
Saudi,1,0-4,,,Male,9736
Non-Saudi,1,0-4,,,Male,473
Saudi,1,0-4,,,Male,2683
Non-Saudi,1,0-4,,,Male,556
Saudi,1,0-4,,,Male,2087
Non-Saudi,1,0-4,,,Male,1447
Saudi,1,0-4,,,Male,668
Non-Saudi,1,0-4,,,Male,57
Saudi,1,0-4,,,Male,8434
Non-Saudi,1,0-4,,,Male,2040
Saudi,1,0-4,,,Male,82
Non-Saudi,1,0-4,,,Male,4
Saudi,1,0-4,,,Male,4548
Non-Saudi,1,0-4,,,Male,98
Saudi,1,0-4,,,Male,484
Non-Saudi,1,0-4,,,Male,23
Saudi,1,0-4,,,Male,378
Non-Saudi,1,0-4,,,Male,37
Saudi,1,0-4,,,Male,4458
Non-Saudi,1,0-4,,,Male,564
Saudi,1,0-4,,,Male,282
Non-Saudi,1,0-4,,,Male,54
Saudi,1,0-4,,,Male,133
Non-Saudi,1,0-4,,,Male,22
Saudi,1,0-4,,,Male,181
Non-Saudi,1,0-4,,,Male,4
Saudi,1,0-4,,,Male,406
Non-Saudi,1,0-4,,,Male,15
Saudi,1,0-4,,,Male,633
Non-Saudi,1,0-4,,,Male,25
Saudi,1,0-4,,,Male,5679
Non-Saudi,1,0-4,,,Male,298
Saudi,1,0-4,,,Male,370
Non-Saudi,1,0-4,,,Male,12
Saudi,1,0-4,,,Male,237
Non-Saudi,1,0-4,,,Male,12
Saudi,1,0-4,,,Male,386
Non-Saudi,1,0-4,,,Male,20
Saudi,1,0-4,,,Male,1548
Non-Saudi,1,0-4,,,Male,145
Saudi,1,0-4,,,Male,1129
Non-Saudi,1,0-4,,,Male,145
Saudi,1,0-4,,,Male,82
Non-Saudi,1,0-4,,,Male,26
Saudi,1,0-4,,,Male,421
Non-Saudi,1,0-4,,,Male,11
Saudi,1,0-4,,,Male,574
Non-Saudi,1,0-4,,,Male,53
Saudi,1,0-4,,,Male,225
Non-Saudi,1,0-4,,,Male,3
Saudi,1,0-4,,,Male,409
Non-Saudi,1,0-4,,,Male,28
Saudi,1,0-4,,,Male,730
Non-Saudi,1,0-4,,,Male,76
Saudi,1,0-4,,,Male,288
Non-Saudi,1,0-4,,,Male,37
Saudi,1,0-4,,,Male,647
Non-Saudi,1,0-4,,,Male,94
Saudi,1,0-4,,,Male,1344
Non-Saudi,1,0-4,,,Male,270
Saudi,1,0-4,,,Male,1119
Non-Saudi,1,0-4,,,Male,288
Saudi,1,0-4,,,Male,1444
Non-Saudi,1,0-4,,,Male,369
Saudi,1,0-4,,,Male,393
Non-Saudi,1,0-4,,,Male,117
Saudi,1,0-4,,,Male,125
Non-Saudi,1,0-4,,,Male,8
Saudi,1,0-4,,,Male,140
Non-Saudi,1,0-4,,,Male,15
Saudi,1,0-4,,,Male,272
Non-Saudi,1,0-4,,,Male,21
Saudi,1,0-4,,,Male,936
Non-Saudi,1,0-4,,,Male,10
Saudi,1,0-4,,,Male,187
Saudi,1,0-4,,,Male,205
Non-Saudi,1,0-4,,,Male,8
Saudi,1,0-4,,,Male,240
Non-Saudi,1,0-4,,,Male,6
Saudi,1,0-4,,,Male,122
Non-Saudi,1,0-4,,,Male,1
Saudi,1,0-4,,,Male,468
Non-Saudi,1,0-4,,,Male,28
Saudi,1,0-4,,,Male,3612
Non-Saudi,1,0-4,,,Male,255
Saudi,1,0-4,,,Male,193
Non-Saudi,1,0-4,,,Male,1
Saudi,1,0-4,,,Male,160
Non-Saudi,1,0-4,,,Male,1
Saudi,1,0-4,,,Male,2873
Non-Saudi,1,0-4,,,Male,194
Saudi,1,0-4,,,Male,1059
Non-Saudi,1,0-4,,,Male,28
Saudi,1,0-4,,,Male,130
Non-Saudi,1,0-4,,,Male,1
Saudi,1,0-4,,,Male,261
Non-Saudi,1,0-4,,,Male,4
Saudi,1,0-4,,,Male,204
Non-Saudi,1,0-4,,,Male,4
Saudi,1,0-4,,,Male,320
Non-Saudi,1,0-4,,,Male,12
Saudi,1,0-4,,,Male,194
Non-Saudi,1,0-4,,,Male,14
Saudi,1,0-4,,,Male,334
Non-Saudi,1,0-4,,,Male,2
Saudi,1,0-4,,,Male,438
Non-Saudi,1,0-4,,,Male,22
Saudi,1,0-4,,,Male,1713
Non-Saudi,1,0-4,,,Male,82
Saudi,1,0-4,,,Male,378
Non-Saudi,1,0-4,,,Male,5
Saudi,1,0-4,,,Male,92
Non-Saudi,1,0-4,,,Male,13
Saudi,1,0-4,,,Male,4272
Non-Saudi,1,0-4,,,Male,383
Saudi,1,0-4,,,Male,407
Non-Saudi,1,0-4,,,Male,9
Saudi,1,0-4,,,Male,621
Non-Saudi,1,0-4,,,Male,12
Saudi,1,0-4,,,Male,211
Saudi,1,0-4,,,Male,316
Non-Saudi,1,0-4,,,Male,8
Saudi,1,0-4,,,Male,1953
Non-Saudi,1,0-4,,,Male,48
Saudi,1,0-4,,,Male,276
Non-Saudi,1,0-4,,,Male,30
Saudi,1,0-4,,,Male,695
Non-Saudi,1,0-4,,,Male,38
Saudi,1,0-4,,,Male,340
Non-Saudi,1,0-4,,,Male,7
Saudi,1,0-4,,,Male,6871
Non-Saudi,1,0-4,,,Male,643
Saudi,1,0-4,,,Male,554
Non-Saudi,1,0-4,,,Male,18
Saudi,1,0-4,,,Male,1675
Non-Saudi,1,0-4,,,Male,68
Saudi,1,0-4,,,Male,105
Non-Saudi,1,0-4,,,Male,3
Saudi,1,0-4,,,Male,660
Non-Saudi,1,0-4,,,Male,21
Saudi,1,0-4,,,Male,322
Non-Saudi,1,0-4,,,Male,6
Saudi,1,0-4,,,Male,711
Non-Saudi,1,0-4,,,Male,55
Saudi,1,0-4,,,Male,390
Non-Saudi,1,0-4,,,Male,6
Saudi,1,0-4,,,Male,16733
Non-Saudi,1,0-4,,,Male,7274
Saudi,1,0-4,,,Male,372
Non-Saudi,1,0-4,,,Male,24
Saudi,1,0-4,,,Male,780
Non-Saudi,1,0-4,,,Male,82
Saudi,1,0-4,,,Male,471
Non-Saudi,1,0-4,,,Male,20
Saudi,1,0-4,,,Male,11212
Non-Saudi,1,0-4,,,Male,3331
Saudi,1,0-4,,,Male,237
Non-Saudi,1,0-4,,,Male,7
Saudi,1,0-4,,,Male,80
Non-Saudi,1,0-4,,,Male,1
Saudi,1,0-4,,,Male,161
Non-Saudi,1,0-4,,,Male,2
Saudi,1,0-4,,,Male,256
Non-Saudi,1,0-4,,,Male,12
Saudi,1,0-4,,,Male,84
Non-Saudi,1,0-4,,,Male,1
Saudi,1,0-4,,,Male,1033
Non-Saudi,1,0-4,,,Male,145
Saudi,1,0-4,,,Male,3912
Non-Saudi,1,0-4,,,Male,478
Saudi,1,0-4,,,Male,198
Non-Saudi,1,0-4,,,Male,5
Saudi,2,0-4,Al Bahah (Emirate HQ),Al Bahah,Female,574
Non-Saudi,2,0-4,Al Bahah (Emirate HQ),Al Bahah,Female,81
Saudi,2,0-4,Al Hujrah,Al Bahah,Female,106
Non-Saudi,2,0-4,Al Hujrah,Al Bahah,Female,5
Saudi,2,0-4,Al Aqiq,Al Bahah,Female,339
Non-Saudi,2,0-4,Al Aqiq,Al Bahah,Female,11
Saudi,2,0-4,,Al Bahah,Female,159
Non-Saudi,2,0-4,,Al Bahah,Female,4
Saudi,2,0-4,,Al Bahah,Female,427
Non-Saudi,2,0-4,,Al Bahah,Female,21
Saudi,2,0-4,,Al Bahah,Female,133
Non-Saudi,2,0-4,,Al Bahah,Female,16
Saudi,2,0-4,,Al Bahah,Female,346
Non-Saudi,2,0-4,,Al Bahah,Female,30
Saudi,2,0-4,,Al Bahah,Female,137
Non-Saudi,2,0-4,,Al Bahah,Female,3
Saudi,2,0-4,,Al Bahah,Female,119
Saudi,2,0-4,,Al Bahah,Female,239
Non-Saudi,2,0-4,,Al Bahah,Female,7
Saudi,2,0-4,,,Female,2321
Non-Saudi,2,0-4,,,Female,64
Saudi,2,0-4,,,Female,552
Non-Saudi,2,0-4,,,Female,23
Saudi,2,0-4,,,Female,1948
Non-Saudi,2,0-4,,,Female,138
Saudi,2,0-4,,,Female,1696
Non-Saudi,2,0-4,,,Female,29
Saudi,2,0-4,,,Female,229
Non-Saudi,2,0-4,,,Female,12
Saudi,2,0-4,,,Female,816
Non-Saudi,2,0-4,,,Female,38
Saudi,2,0-4,,,Female,661
Non-Saudi,2,0-4,,,Female,51
Saudi,2,0-4,,,Female,1990
Non-Saudi,2,0-4,,,Female,172
Saudi,2,0-4,,,Female,467
Non-Saudi,2,0-4,,,Female,16
Saudi,2,0-4,,,Female,103
Non-Saudi,2,0-4,,,Female,6
Saudi,2,0-4,,,Female,2785
Non-Saudi,2,0-4,,,Female,278
Saudi,2,0-4,,,Female,562
Non-Saudi,2,0-4,,,Female,142
Saudi,2,0-4,,,Female,344
Non-Saudi,2,0-4,,,Female,26
Saudi,2,0-4,,,Female,1592
Non-Saudi,2,0-4,,,Female,98
Saudi,2,0-4,,,Female,35446
Non-Saudi,2,0-4,,,Female,12205
Saudi,2,0-4,,,Female,284
Non-Saudi,2,0-4,,,Female,5
Saudi,2,0-4,,,Female,529
Non-Saudi,2,0-4,,,Female,53
Saudi,2,0-4,,,Female,326
Non-Saudi,2,0-4,,,Female,9
Saudi,2,0-4,,,Female,66
Non-Saudi,2,0-4,,,Female,16
Saudi,2,0-4,,,Female,603
Non-Saudi,2,0-4,,,Female,37
Saudi,2,0-4,,,Female,1121
Non-Saudi,2,0-4,,,Female,94
Saudi,2,0-4,,,Female,501
Non-Saudi,2,0-4,,,Female,33
Saudi,2,0-4,,,Female,73
Non-Saudi,2,0-4,,,Female,7
Saudi,2,0-4,,,Female,110
Non-Saudi,2,0-4,,,Female,10
Saudi,2,0-4,,,Female,323
Non-Saudi,2,0-4,,,Female,9
Saudi,2,0-4,,,Female,288
Non-Saudi,2,0-4,,,Female,10
Saudi,2,0-4,,,Female,272
Non-Saudi,2,0-4,,,Female,18
Saudi,2,0-4,,,Female,154
Non-Saudi,2,0-4,,,Female,18
Saudi,2,0-4,,,Female,571
Non-Saudi,2,0-4,,,Female,22
Saudi,2,0-4,,,Female,74
Non-Saudi,2,0-4,,,Female,2
Saudi,2,0-4,,,Female,827
Non-Saudi,2,0-4,,,Female,43
Saudi,2,0-4,,,Female,306
Non-Saudi,2,0-4,,,Female,11
Saudi,2,0-4,,,Female,445
Non-Saudi,2,0-4,,,Female,21
Saudi,2,0-4,,,Female,443
Non-Saudi,2,0-4,,,Female,36
Saudi,2,0-4,,,Female,860
Non-Saudi,2,0-4,,,Female,57
Saudi,2,0-4,,,Female,72
Non-Saudi,2,0-4,,,Female,1
Saudi,2,0-4,,,Female,337
Non-Saudi,2,0-4,,,Female,24
Saudi,2,0-4,,,Female,570
Non-Saudi,2,0-4,,,Female,2
Saudi,2,0-4,,,Female,4878
Non-Saudi,2,0-4,,,Female,505
Saudi,2,0-4,,,Female,271
Non-Saudi,2,0-4,,,Female,5
Saudi,2,0-4,,,Female,197
Non-Saudi,2,0-4,,,Female,6
Saudi,2,0-4,,,Female,214
Non-Saudi,2,0-4,,,Female,5
Saudi,2,0-4,,,Female,1308
Non-Saudi,2,0-4,,,Female,103
Saudi,2,0-4,,,Female,235
Non-Saudi,2,0-4,,,Female,15
Saudi,2,0-4,,,Female,434
Non-Saudi,2,0-4,,,Female,6
Saudi,2,0-4,,,Female,495
Non-Saudi,2,0-4,,,Female,30
Saudi,2,0-4,,,Female,239
Non-Saudi,2,0-4,,,Female,1
Saudi,2,0-4,,,Female,10100
Non-Saudi,2,0-4,,,Female,1901
Saudi,2,0-4,,,Female,478
Non-Saudi,2,0-4,,,Female,16
Saudi,2,0-4,,,Female,519
Non-Saudi,2,0-4,,,Female,20
Saudi,2,0-4,,,Female,521
Non-Saudi,2,0-4,,,Female,19
Saudi,2,0-4,,,Female,278
Non-Saudi,2,0-4,,,Female,8
Saudi,2,0-4,,,Female,2750
Non-Saudi,2,0-4,,,Female,354
Saudi,2,0-4,,,Female,9758
Non-Saudi,2,0-4,,,Female,519
Saudi,2,0-4,,,Female,2571
Non-Saudi,2,0-4,,,Female,636
Saudi,2,0-4,,,Female,2093
Non-Saudi,2,0-4,,,Female,1454
Saudi,2,0-4,,,Female,623
Non-Saudi,2,0-4,,,Female,46
Saudi,2,0-4,,,Female,8547
Non-Saudi,2,0-4,,,Female,2097
Saudi,2,0-4,,,Female,85
Non-Saudi,2,0-4,,,Female,6
Saudi,2,0-4,,,Female,4583
Non-Saudi,2,0-4,,,Female,89
Saudi,2,0-4,,,Female,514
Non-Saudi,2,0-4,,,Female,29
Saudi,2,0-4,,,Female,382
Non-Saudi,2,0-4,,,Female,37
Saudi,2,0-4,,,Female,4616
Non-Saudi,2,0-4,,,Female,574
Saudi,2,0-4,,,Female,291
Non-Saudi,2,0-4,,,Female,42
Saudi,2,0-4,,,Female,154
Non-Saudi,2,0-4,,,Female,13
Saudi,2,0-4,,,Female,199
Non-Saudi,2,0-4,,,Female,4
Saudi,2,0-4,,,Female,444
Non-Saudi,2,0-4,,,Female,17
Saudi,2,0-4,,,Female,584
Non-Saudi,2,0-4,,,Female,27
Saudi,2,0-4,,,Female,5733
Non-Saudi,2,0-4,,,Female,332
Saudi,2,0-4,,,Female,352
Non-Saudi,2,0-4,,,Female,17
Saudi,2,0-4,,,Female,245
Non-Saudi,2,0-4,,,Female,11
Saudi,2,0-4,,,Female,403
Non-Saudi,2,0-4,,,Female,40
Saudi,2,0-4,,,Female,1580
Non-Saudi,2,0-4,,,Female,161
Saudi,2,0-4,,,Female,1107
Non-Saudi,2,0-4,,,Female,150
Saudi,2,0-4,,,Female,92
Non-Saudi,2,0-4,,,Female,36
Saudi,2,0-4,,,Female,435
Non-Saudi,2,0-4,,,Female,10
Saudi,2,0-4,,,Female,564
Non-Saudi,2,0-4,,,Female,51
Saudi,2,0-4,,,Female,200
Non-Saudi,2,0-4,,,Female,2
Saudi,2,0-4,,,Female,358
Non-Saudi,2,0-4,,,Female,37
Saudi,2,0-4,,,Female,735
Non-Saudi,2,0-4,,,Female,110
Saudi,2,0-4,,,Female,276
Non-Saudi,2,0-4,,,Female,38
Saudi,2,0-4,,,Female,639
Non-Saudi,2,0-4,,,Female,113
Saudi,2,0-4,,,Female,1412
Non-Saudi,2,0-4,,,Female,293
Saudi,2,0-4,,,Female,1110
Non-Saudi,2,0-4,,,Female,323
Saudi,2,0-4,,,Female,1506
Non-Saudi,2,0-4,,,Female,411
Saudi,2,0-4,,,Female,433
Non-Saudi,2,0-4,,,Female,153
Saudi,2,0-4,,,Female,108
Non-Saudi,2,0-4,,,Female,8
Saudi,2,0-4,,,Female,147
Non-Saudi,2,0-4,,,Female,6
